fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
21,-0.08732626161250567,-0.08740283729687093,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.014696683836735147,-0.02221386589317338,-0.03195231274990129,-0.01015367486119576,-0.03619064022482719,0.017207131379061824,0.026589969768264464
22,-0.06460620427703234,-0.07770099765268479,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.04194043650531931,-0.05013092849661009,-0.014382847536077792,-0.014429451565339192,-0.009245966552457885,0.019226157505332787,0.07881834276230189
23,-0.1702472737897609,-0.232817798125589,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.021043209479198487,-0.0024006177875063985,-0.014975367222235825,0.01831834286418066,-0.03484797378750888,-0.034234186697322186,-0.0132703707135295
24,-0.022497721390555947,-0.023927897503411844,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.018112204263341612,-0.040078620629407105,-0.006016828505635096,0.03252481358768389,0.012595441657569494,-0.022754565975340934,0.0627487374923918
25,-0.021304018380208234,-0.022724383072849852,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.0051219788099102544,-0.004889506456587522,-0.008796077796326341,-0.010791893106144724,-0.011049595172171855,0.022996506635269844,0.07092802845467587
26,0.10668052991688648,0.10173248732944906,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.01721590611559225,0.018924194469825184,0.008965533156984073,0.03760384937788617,0.006087222855009467,0.003525449451366702,0.13684689765037025
27,-0.03509888324338206,-0.07843367625798359,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.01620705643059366,0.01803394581686426,0.0069558735442241115,0.03380671923807697,0.023687281201806475,0.030600226944528373,-0.0202672664141172
28,0.19464846747804054,0.15264000110595133,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.005629157851994604,0.018700395349400267,0.010059512319937448,-0.0009029835559063893,0.007447663242580815,0.013854773896722072,0.09400479157326483
29,0.022808834833770608,0.005932967933105049,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.012825153079348483,-0.026226893155019027,-0.01750152574556203,-0.02036580910158321,-0.008370858666681125,0.013677644990233185,0.10205778113951973
30,0.03163817426927551,0.02067449179523273,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.006355549281879624,-0.035193878953176806,0.007837858672776398,-0.007315654644656289,-0.005740068866366821,0.05050037423691558,0.0314675905638581
31,0.18338692411033686,0.18161868416110982,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.00924242636265673,0.01397457077041291,-0.0019457523863055215,0.016259586051382734,-0.023910137908610428,-0.0064005688844448235,0.10993108250133132
32,0.00866503269686325,-0.016255798970466362,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.0016220755795960829,-0.0026589387305068655,0.0006305613859535653,0.025392214398866277,-0.001953734469672197,0.033990162956067424,0.03400920121061575
33,0.15411388203803222,0.13973845533490115,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.006505772991706538,0.009390528399254782,0.022483591180058736,-0.0031432940749383407,0.007754408041361183,0.010234280355629389,0.07768667769718014
34,0.016110847439375853,-0.13258649034016456,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.023052943865587115,-0.006746492329994492,0.005472516030462349,0.015987410582477303,-0.027206467874995345,0.024902960743739787,0.03860847977270221
35,0.22590065950608007,0.14984635671658397,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.01132526116262722,-0.001039008347378867,0.0036172942309772747,0.019957444184208594,0.0013603568440094804,0.030737931278317365,0.10167269104778168
36,0.22169138848557746,0.18819497879526648,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.007249737374775611,0.0022471148820644602,0.01381200304089365,0.011043999274423922,-0.010482194390826071,0.04268079898391082,0.0716415632383536
37,0.013247494071689236,0.002461362118558741,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.028849446003578905,-0.03560077986156045,-0.04723036522375688,-0.026563759869836147,-0.015494272974861856,0.04428443728840843,0.14963457274260722
38,0.1448394015744774,0.13913238279504725,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.013583525685555431,-0.020039974292942863,-0.008172720948061252,0.03312363560924334,0.007705552643820312,0.014310221761626751,0.12978801958188962
39,0.1772057294694771,0.13499881032891947,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.001057207722428255,-0.01184975712741083,0.0029140739647109948,0.019786809461871745,-0.008695609454218633,0.01630039805589647,0.06892823231109764
