fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-14,features T-13,features T-12,features T-11,features T-10,features T-9,features T-8,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
13,-0.03072824226724924,-0.07161793061273669,111,same,14,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07208820246152782,0.04470672027633149,0.04653875880112851,0.08831240834163867,0.059760444628515215,0.11091655609535668,0.16756468801253618,0.01043548194532852,0.002636891284615404,0.006073807782308389,0.017422885937946202,0.001406302659593244,0.010976911935816082,0.017954483735647734
14,0.012192061578088276,-0.21278513506492702,119,same,15,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.06571410471743244,0.041285596298779405,0.04841601592084479,0.08205090784556672,0.059638582075116006,0.10796748466777303,0.1649517285085026,0.00961495957476081,0.0018400253594578748,0.007930245442592364,0.016914762104502126,0.0024676644927314924,0.01120058924336087,0.017950798329497163
15,-0.031198849579751053,-0.07585045108447397,105,same,16,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07082109125860263,0.04343604363012527,0.048298248457985235,0.08065740569594587,0.06216126248300373,0.11250480263159963,0.16852683815691616,0.011135949526269796,0.0028143812906422103,0.006996147553749835,0.014631651203106763,0.0024041206342342598,0.009851978881352603,0.020036021838711664
16,0.00302964633683922,-0.0006523215825569029,111,same,17,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07069590663240262,0.03833573203681041,0.050925362598263545,0.08880905171737027,0.057461316163689824,0.11425972741137784,0.17078379701116303,0.01064781939238263,0.0007817661016582384,0.006252008072404474,0.0186195431674703,0.002367873548714334,0.00962180038364309,0.01875262770787909
17,-0.05463624579265969,-0.06923341510765813,118,same,18,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07207837253228525,0.04256176259854245,0.04910005793922796,0.08502003991382964,0.06232544930680617,0.11387800494867815,0.16867624585461205,0.010165514810707469,0.0015434954855522436,0.0076220203037747165,0.014338813328084581,0.003019433961227914,0.011543783570837268,0.019322769310568533
18,0.0017908313763159711,-0.018063425535822297,98,same,19,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.0692655944436508,0.04519579741538299,0.047923686339929376,0.08778412206232017,0.06518699666674246,0.11184389629171954,0.1655228309376367,0.011646327142886312,0.0019417847507511993,0.006791746949811314,0.01642449451858372,0.004299032829054765,0.010548007945638772,0.017372416371722453
19,0.2053708815532922,0.20396070863163007,119,same,20,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.0718794647808291,0.0452997095869416,0.046610125413562895,0.08571929246080877,0.057351907317409814,0.10981215622335025,0.16960888503535337,0.009243899748543513,0.0010765682062693596,0.005986005978742688,0.01700574311292985,0.0015398582598520382,0.008940245349826636,0.0192283888190272
20,0.005207843035423654,-0.005439658835381778,117,same,21,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07364794707376371,0.04330524579988396,0.048528265215689495,0.0820167115368278,0.06498618665268528,0.10673929881603057,0.17157922540532972,0.009080289358263157,0.001200124418762765,0.00791408307422617,0.01568874870465306,0.0020627181148352145,0.008273600296127339,0.018311152106778802
21,0.09582719569733789,0.030503399890935534,110,same,22,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07274313584450912,0.0457584186887008,0.048304746573456334,0.08354423052279286,0.05966559749078743,0.11169890181951919,0.16645288901037789,0.011141586752718502,0.0039203615131299056,0.009019195784173446,0.018845623868632942,0.003740175598416238,0.011057857665751913,0.019406003846257663
22,-0.046931552185554004,-0.04758678137825978,110,same,23,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07183218987686882,0.043197713405938115,0.043925119789619785,0.08410680853992689,0.0638062463239778,0.1105140569435842,0.17428583558825025,0.009865794516253284,0.002823122805649266,0.005351148396027576,0.017124634524873585,0.0034284231290966005,0.01090350736486927,0.01994841502504595
