fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
27,-0.0021994031229137,-0.0022928392827938,1593,same,28,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0048881614213843,0.0082556137949855,0.0072480517146993,0.0055022119201519,0.0083944571742145,0.0079231771246694,0.0104896265634955
28,0.0022044385467916,0.0020546752614366,1593,same,29,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.004958714044829,0.0084614765815162,0.0069069296372712,0.0054663738281727,0.0084368478143939,0.0080427608433959,0.0101493161947556
29,-0.007292666114441,-0.009638464577913,1593,same,30,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0045175860706803,0.008639257115394,0.0072778996997736,0.005579065834859,0.0085006321750567,0.0078965038127393,0.010321142454843
30,-0.0037276497835148,-0.0451109532290621,1593,same,31,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0045902079322682,0.0084484826093819,0.0067973365497017,0.0055327207360226,0.008247656796281,0.0078109404693031,0.0100328212369202
31,-0.0051896624942233,-0.0173805275514162,1593,same,32,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047752921097122,0.0086884428357551,0.0067952172408213,0.0055045806806865,0.0082252668726308,0.0082366956937876,0.010231343910383
32,-0.0018536542437799,-0.022594636316892,1593,same,33,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046046204243503,0.0084863899935881,0.0067821334975635,0.0056433672714245,0.0082755566565703,0.0078948396370734,0.0101682840506373
33,0.0086508423391343,0.004167523071104,1593,same,34,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047430180518207,0.0081687902713309,0.0072001428218284,0.0056255656517793,0.0083651425508676,0.0078413823775287,0.0099038256958395
34,-0.0030228953091222,-0.0611445195716127,1593,same,35,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.004542844970169,0.0082539751774945,0.0067216529617727,0.0056031498050383,0.0082496312073529,0.0077626582483564,0.0099652557750674
35,0.0016249242854164,-0.0002694963593199,1593,same,36,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047542885161764,0.0086599365714127,0.0070461228431167,0.0055002618163244,0.0084899585647695,0.0078662270044287,0.010079464159341
36,0.0005518561453642,-0.0037599726407053,1593,same,37,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0048426642980644,0.0082429640586259,0.0069187209750614,0.0057242941209511,0.0086836883965638,0.0077335368982506,0.0102388723758562
37,0.0033412123278825,-0.0032511089518068,1593,same,38,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0048091270686998,0.0085716202934984,0.0070534241762677,0.0056871491775478,0.0082333823794735,0.0078829961330176,0.0099467263489873
38,0.0040272034559766,0.0007120896620602,1593,same,39,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047387811238605,0.008363848609132,0.0069632223793438,0.0058571830491177,0.0084481005820196,0.0080405327138883,0.0098450355014837
39,0.007247980796875,0.0066598868848868,1593,same,40,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0048507047396139,0.0085475707818848,0.0068808858822673,0.0058744780187094,0.0081613839979672,0.0077961025634075,0.0100553823040314
40,-0.0074429412155418,-0.0084729715618832,1593,same,41,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0048138730265243,0.0083081058291526,0.0071766511408753,0.0057677799640471,0.0083726383685774,0.0080266881034546,0.0105371618137134
41,-0.0007839357815357,-0.0054139351877127,1593,same,42,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046468191230266,0.0086765520244849,0.007030634953889,0.0055319928968792,0.0083244577511075,0.0078260825571169,0.0103475642966187
42,-0.0087342108619987,-0.0142551619275861,1593,same,43,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047308342321836,0.0085607554080757,0.0070098586490773,0.0055331755673414,0.0084593331522668,0.0080741775383358,0.010311796002489
43,0.0002513959180767,-0.000555947706794,1593,same,44,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0048129994487257,0.0085646863141697,0.0069598632125625,0.0054927847414848,0.0083814922994918,0.0078405568182093,0.0103229756529993
44,0.0105080786230559,-0.0071794885974429,1593,same,45,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0045323140416733,0.0081923623530714,0.006940604818852,0.0054927659044818,0.0084026354328734,0.0076392984003516,0.0100962379831298
