filename,sub,accuracy,RT,feature1,feature2,feature3,feature4,feature5,feature6,feature7,targets
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.246,2.74,1.644,2.857,2.331,1.636,1.95,2.197,1.246
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.662,1.644,2.857,2.331,1.636,1.95,2.197,1.246,1.662
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.399,2.857,2.331,1.636,1.95,2.197,1.246,1.662,1.399
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,3.714,2.331,1.636,1.95,2.197,1.246,1.662,1.399,3.714
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.889,1.636,1.95,2.197,1.246,1.662,1.399,3.714,1.889
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.792,1.95,2.197,1.246,1.662,1.399,3.714,1.889,1.792
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.656,2.197,1.246,1.662,1.399,3.714,1.889,1.792,1.656
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.846,1.246,1.662,1.399,3.714,1.889,1.792,1.656,1.846
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.803,1.662,1.399,3.714,1.889,1.792,1.656,1.846,2.803
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.563,1.399,3.714,1.889,1.792,1.656,1.846,2.803,1.563
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.032,3.714,1.889,1.792,1.656,1.846,2.803,1.563,2.032
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.193,1.889,1.792,1.656,1.846,2.803,1.563,2.032,2.193
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.084,1.792,1.656,1.846,2.803,1.563,2.032,2.193,2.084
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.514,1.656,1.846,2.803,1.563,2.032,2.193,2.084,1.514
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.302,1.846,2.803,1.563,2.032,2.193,2.084,1.514,2.302
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.628,2.803,1.563,2.032,2.193,2.084,1.514,2.302,1.628
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.361,1.563,2.032,2.193,2.084,1.514,2.302,1.628,1.361
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.049,2.032,2.193,2.084,1.514,2.302,1.628,1.361,2.049
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.416,2.193,2.084,1.514,2.302,1.628,1.361,2.049,2.416
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.695,2.002,1.024,0.542,0.721,1.279,2.267,1.296,0.695
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.867,1.024,0.542,0.721,1.279,2.267,1.296,0.695,0.867
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,1.34,0.542,0.721,1.279,2.267,1.296,0.695,0.867,1.34
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.581,0.721,1.279,2.267,1.296,0.695,0.867,1.34,0.581
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.595,1.279,2.267,1.296,0.695,0.867,1.34,0.581,0.595
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.595,2.267,1.296,0.695,0.867,1.34,0.581,0.595,0.595
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.61,1.296,0.695,0.867,1.34,0.581,0.595,0.595,0.61
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.314,0.695,0.867,1.34,0.581,0.595,0.595,0.61,0.314
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.755,0.867,1.34,0.581,0.595,0.595,0.61,0.314,0.755
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.518,1.34,0.581,0.595,0.595,0.61,0.314,0.755,0.518
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.595,0.581,0.595,0.595,0.61,0.314,0.755,0.518,0.595
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.467,0.595,0.595,0.61,0.314,0.755,0.518,0.595,0.467
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.384,0.595,0.61,0.314,0.755,0.518,0.595,0.467,0.384
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.943,0.61,0.314,0.755,0.518,0.595,0.467,0.384,0.943
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.475,0.314,0.755,0.518,0.595,0.467,0.384,0.943,0.475
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.801,0.755,0.518,0.595,0.467,0.384,0.943,0.475,0.801
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.355,0.518,0.595,0.467,0.384,0.943,0.475,0.801,0.355
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.817,0.595,0.467,0.384,0.943,0.475,0.801,0.355,0.817
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,1.247,0.467,0.384,0.943,0.475,0.801,0.355,0.817,1.247
