fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
20,0.02700678441110227,-0.12462359749584828,503,same,21,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.005369788048703317,0.0016349785203349176,0.00964801575809333,-0.004677451597280479,0.008948278642633922,-0.00015521244852747528,0.09826235642098007
21,-0.04159551283298524,-0.09734742655433615,503,same,22,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.005964789139538018,-0.0020657120693739817,0.012332990820621958,-0.011809321665173168,0.012876483086305512,0.005788886384615078,0.06203040467122043
22,0.013516802814052431,-0.08061334834442868,495,same,23,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.016555875569061886,-0.007120106906724955,-0.011367194230229073,-0.017682064532876886,0.0071650109257684665,-0.002607566350142143,0.12940704086463536
23,0.1752624769321629,0.17415316840429507,503,same,24,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.011328821770595132,-0.004791160241911441,0.005089269259717288,-0.005057918618451307,0.003799703212983152,0.0058304546331547245,0.13126498380511048
24,0.032722870510181856,-0.01238274995363664,502,same,25,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.00809900312738161,0.009362382427380522,0.016165282968918726,0.008858677883499477,0.011929238808476406,0.006036896800715641,0.05996574523470473
25,0.12034136661474193,0.063787406969542,423,same,26,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.01332892337343059,-0.0004203659289338635,0.005491010471849256,-0.0007332954651592116,0.008435124662986482,0.014145998403346117,0.13023921683894482
26,0.11259036859004912,0.0971912601154662,503,same,27,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.009188904549623334,0.0020914821915248407,0.019087561604105387,0.011239692452561224,0.001233769466738588,-0.0013564254549875531,0.11365252920280189
27,0.13242163118655714,0.12716918494446272,503,same,28,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.00033083648677243447,0.001454313577600863,-0.0042837864952770975,0.0035213705680919192,0.0029631204604147364,0.01196658901081007,0.1523095719039064
28,-0.05664102406007543,-0.056790134257378,503,same,29,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.00508807225480048,-0.008842487728887427,-0.004489786029601106,0.002266720702443914,0.008832015895284994,-0.006790101208670851,0.056628086299555715
29,0.08685464880036387,0.08660860737677145,406,same,30,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.008184098440143117,-0.0055869541236913236,-0.009641834969998686,-0.00054700571018933,0.006322913816738085,0.016090050303871006,0.16387699930861815
